sc_time,sc_routekey,sc_stopkey
REQ,9,72
2:16 PM,9,73
2:19 PM,9,35
2:24 PM,9,52
2:27 PM,9,71
2:34 AM,9,1
REQ,9,72
2:43 PM,9,73
2:46 PM,9,35
2:51 PM,9,52
2:54 PM,9,71
3:01 PM,9,1
REQ,9,72
3:10 PM,9,73
3:13 PM,9,35
3:18 PM,9,52
3:21 PM,9,71
3:43 PM,9,1
REQ,9,72
3:52 PM,9,73
3:55 PM,9,35
4:00 PM,9,52
4:03 PM,9,71
4:10 PM,9,1
REQ,9,72
4:24 PM,9,73
4:27 PM,9,35
4:32 PM,9,52
4:35 PM,9,71
4:42 PM,9,1
REQ,9,72
4:51 PM,9,73
4:54 PM,9,35
4:59 PM,9,52
5:02 PM,9,71
5:09 PM,9,1
REQ,9,72
5:18 PM,9,73
5:21 PM,9,35
5:26 PM,9,52
5:29 PM,9,71
5:36 PM,9,1
REQ,9,72
5:45 PM,9,73
5:48 PM,9,35
5:53 PM,9,52
5:56 PM,9,71
6:18 PM,9,1
REQ,9,72
6:27 PM,9,73
6:30 PM,9,35
6:35 PM,9,52
6:38 PM,9,71
6:45 PM,9,1
REQ,9,72
6:54 PM,9,73
6:57 PM,9,35
7:02 PM,9,52
7:05 PM,9,71
7:12 PM,9,1
REQ,9,72
7:21 PM,9,73
7:24 PM,9,35
7:29 PM,9,52
7:32 PM,9,71
7:39 PM,9,1
REQ,9,72
7:48 PM,9,73
7:51 PM,9,35
7:56 PM,9,52
7:59 PM,9,71
8:06 PM,9,1
REQ,9,72
8:15 PM,9,73
8:18 PM,,35
8:23 PM,9,52
8:26 PM,9,71
